Name,Company,Gender,TopNotes,MiddleNotes,BaseNotes
No 5,Chanel,feminine,ylang-ylang/neroli/aldehydes,jasmine/mayrose,sandalwood/vetiver
No 22,Chanel,feminine,aldehydes,jasmine/tuberose/ylang-ylang/rose,vetiver/vanilla/incense
No 19,Chanel,feminine,galbanum/bergamot/neroli/hyacinth,rose/orris/jasmine/narcissus/muguet/ylang-ylang,musk/sandal/oakmoss/leather/cedarwood
Cristalle Eau de Toilette,Chanel,feminine,sicilian lemon/bergamot,rosewood/hyacinth,oakmoss/vetiver
Coco,Chanel,feminine,angelica/mimosa/frangipani/mandarin,cascarilla/orange flower/bulgarian rose/jasmine,labdanum/ambrette seed/opopanax/benzoin/tonka/vanilla
Coco Mademoiselle,Chanel,feminine,orange/bergamot/grapefruit,litchi/rose/italian jasmine,indonesian patchouli/haitian vetiver/bourbon vanilla/white musk
Cristalle Eau de Parfum,Chanel,feminine,mandarin/peach/lily of the valley/sicilian lemon/bergamot,jasmine/iris/rosewood/hyacinth,vetiver/oakmoss
Allure Homme,Chanel,masculine,bergamot/mandarin/citron zest,jamaican pepper,vetiver/patchouli/sandalwood/cedarwood/tonka bean/labdanum
Antaeus,Chanel,masculine,clary sage/myrtle,patchouli/sandalwood,labdanum/beeswax absolute
Chanel Pour Monsieur,Chanel,masculine,neroli/lemon/petitgrain,cardamom,cedarwood/oakmoss/vetiver
Chanel Pour Monsieur Concentree,Chanel,masculine,mandarine/lavender/petitgrain,cardamom/nutmeg,oakmoss/vetiver/opoponax/vanilla
Egoiste / L'Egoiste,Chanel,masculine,sicilian tangerine/brazilian rosewood,coriander/damask rose,sandalwood/vanilla/ambrette seed
Platinum Egoiste,Chanel,masculine,lavender/rosemary/petitgrain,clary sage/geranium/galbanum,vetiver/cedarwood/labdanum/treemoss
Allure Homme Sport,Chanel,masculine,aldehydes/mandarin/orange/aquatic note,black pepper/neroli/cedar,tonka/vetiver/amber/white musk
Allure Sensuelle,Chanel,feminine,bergamot/mandarin/pink pepper,jasmine/rose/iris/candied fruit/vetiver,"french vanilla/amber/patchouli/frankincense/""sensual note"""
Chance Eau Fraiche,Chanel,feminine,citron/water hyacinth,jasmine absolute/white musk,vetiver/amber/patchouli/teak
No 46,Chanel,feminine,bergamot/orange/neroli,rose/lily of the valley-ylang-jasmin,vetiver/orris/sandalwood/coumarin/vanilla infusion/musk
Chance Eau Tendre,Chanel,feminine,grapefruit/quince,hyacinth/jasmine,amber/cedar/iris/white musk
No 19 Poudre,Chanel,feminine,mandarin/neroli,iris/jasmine/galbanum/vetiver/hyacinth,musk/tonka bean
Coco Mademoiselle L'Extrait,Chanel,feminine,sicilian orange/calabrian bergamot,may rose/jasmine/florentine iris,patchouli/vetiver/bourbon vanilla/white musk
Coco Noir,Chanel,feminine,grapefruit/bergamot,rose/jasmine/indonesian patchouli,sandalwood/brazilian tonka bean/white musk
1932,Chanel,feminine,aldehydes/bergamot/neroli,jasmine/rose/lilac/carnation/ylang-ylang,vetiver/sandalwood/opoponax/orris root/coumarin/ambrette/musk/incense/vanilla/iralia
Miss Dior,Christian Dior,feminine,galbanum,jasmine,patchouli
Diorissimo,Christian Dior,feminine,muguet/ylang-ylang,amaryllis/boronia,jasmine
Dioressence,Christian Dior,feminine,violet/rosebud,geranium,cinnamon/patchouli
Diorella,Christian Dior,feminine,sicilian lemon/peach/asil/italian bergamot/melon/green notes,honeysuckle/jasmine/violet/rose bud/carnation/cyclamen/oakmoss,vanilla/clove/sandalwood/vetiver/musk/patchouli
Dolce Vita,Christian Dior,feminine,rose/magnolia/muguet,apricot/peach/cinnamon,sandalwood/vanilla/heliotrope
Eau de Dolce Vita,Christian Dior,feminine,citrus notes/pear blossom,jasmine petals/peony/freesia/white pepper,sandalwood/soft vanilla
Hypnotic Poison,Christian Dior,feminine,caraway/bitter almond,jasmine sambac/moss,jacarander wood/vanilla/musk
Dune pour Homme,Christian Dior,masculine,fig leaves/basil leaves/blackcurrant leaves/mandarin,new hedione/moss/sage,fig tree wood/sandalwood/cedarwood/tonka bean
Eau Sauvage,Christian Dior,masculine,lemon/rosemary,petitgrain/basil,vetiver
Eau Sauvage Extreme,Christian Dior,masculine,lavender/rosemary,genista,cedarwood/cistus
Fahrenheit,Christian Dior,masculine,hawthorn/honeysuckle,sandalwood,lenstiscus/styrax (benzoin)
Higher,Christian Dior,masculine,citrus notes/basil/pear,spicy notes/cypress/rosemary flower,pear tree wood/musk
Jules,Christian Dior,masculine,galbanum,black pepper,cedarwood/sandalwood/russian leather
Fahrenheit 0 Degres,Christian Dior,masculine,citrus,violet/freesia/sandal,patchouli/cedar
Higher Black,Christian Dior,masculine,citrus notes/basil/pear,spicy notes/cypress/rosemary flower,pear tree wood/musk
Dior Addict Eau Fraiche,Christian Dior,feminine,mandarin/mandarin leaf/vanilla/bergamot,gardenia/bulgarian rose/tuberose/jasmine,rosewood/sandalwood
Dior Addict Dior Twist,Christian Dior,feminine,mandarin leaf/silk tree flower,bulgarian rose/orange blossom/night queen flower,bourbon vanilla/mysore sandalwood/tonka bean
Forever and Ever Dior,Christian Dior,feminine,ivy leaves/freesia petals/water jasmine,rose/almond blossoms/geranium,vanilla/musk/ambrette seeds
Fahrenheit 32,Christian Dior,masculine,orange blossom,vetiver,vanilla
Midnight Poison,Christian Dior,feminine,bergamot/orange,rose,patchouli/amber
Miss Dior Cherie Eau de Printemps,Christian Dior,feminine,blood orange essence/calabrain bergamot,jasmine absolute/orange blossom/rose,patchouli
Bronze Sweet Sun,Christian Dior,feminine,mandarin/orange,jasmine/tiare flower,ginger/musk/vanilla
Hypnotic Poison Eau Sensuelle,Christian Dior,feminine,ylang-ylang/orange blossom,tuberose/vanilla/orchid,sandalwood/musk
Granville,Christian Dior,unisex,lemon/mandarin/thyme,rosemary/pine/gorse,black pepper/sandalwood/oakmoss
Escale aux Marquises,Christian Dior,unisex,blood orange/pink pepper/cardamom/pepper/amalfi lemon/tiare flower,cinnamon/ginger/clove/nutmeg/coriander/elemi resin,benzoin/vanilla
Eau Sauvage Extreme (new / Intense),Christian Dior,masculine,sicilian lemon,lavender of vaucluse,virginia cedar
Miss Dior Eau Fraiche,Christian Dior,feminine,bergamot/fresh notes,gardenia/floral notes,patchouli/sweet notes
Aqua Fahrenheit,Christian Dior,masculine,citruses/tangerine/grapefruit,violet leaf/basil/mint,vetiver from haiti/leather
Dior Addict to Life,Christian Dior,feminine,pomegranate/raspberry/peach,rose/jasmine/lily of the valley,cedar/white musk
Eau Sauvage Parfum,Christian Dior,masculine,bergamot,myrrh,vetiver
Escale a Parati,Christian Dior,unisex,bitter orange/lemon/petitgrain,rosewood/mint/cinnamon/red berries,tonka bean/woods
Grand Bal,Christian Dior,feminine,bergamot/jasmine,ylang ylang/tunisian orange blossom,new caledonia sandalwood/musk
Oud Ispahan,Christian Dior,unisex,labdanum,indonesian patchouli,laotian oud essence/turkish rose/sandalwood
Dior Addict Eau Sensuelle,Christian Dior,feminine,rose,jasmine,musk/cedar
Miss Dior Le Parfum,Christian Dior,feminine,mandarin,bulgarian rose/turkish rose,patchouli/amber/vanilla
Hypnotic Poison Eau Secrete,Christian Dior,feminine,sicilian mandarin/orange/calabrian bergamot,sambac jasmine/tunisian neroli,vanilla
Miss Dior Eau De Toilette,Christian Dior,feminine,tunisian neroli,bulgarian rose/turkish rose,indonesian patchouli
Noir Epices,Editions de Parfums Frederic Malle,unisex,orange/rose/geranium,nutmeg/cinnamon/clove/pepper,patchouli/cedarwood/sandalwood
Le Parfum de Therese,Editions de Parfums Frederic Malle,feminine,mandarin/melon/jasmine/pepper,violet/rose/plum/nutmeg,cedar/vetiver/leather
Iris Poudre,Editions de Parfums Frederic Malle,unisex,bergamot/orange/rosewood/ylang-ylang/carnation,magnolia/jasmine/muguet/violetta-rose/aldehydes,iris/musk/amber/vanilla/sandalwood/ebony
Musc Ravageur,Editions de Parfums Frederic Malle,unisex,lavender/bergamot,clove/cinnamon,gaiac wood/cedar/sandalwood/vanilla/tonka/musk
Lys Mediterranee,Editions de Parfums Frederic Malle,unisex,ginger lily/lily of the valley (muguet),angelica root/orange flower/water lily,musk
Une Fleur de Cassie,Editions de Parfums Frederic Malle,unisex,cassie/mimosa/jasmine/clove/cumin/bergamot,rose/violet/apricot/aldehyde/salicylate/,musk cetone/cedarwood/sandalwood
Dans Tes Bras,Editions de Parfums Frederic Malle,feminine,bergamot/clove/violet/jasmine,sandalwood/patchouli/incense/cashmeran,heliotrope/white musk
Geranium pour Monsieur,Editions de Parfums Frederic Malle,masculine,mint/pepper mint/geranium/rhodinol/anethol/floralzone,cinnamon/clove oil,white musk cocktail/ambroxan/sandalwood/incense/syrax
Eau de Givenchy,Givenchy,feminine,bergamot/spearmint/fruity notes,muguet/jasmin/rose/cyclamen,moss/sandal/cedar/musk
Extravagance D'Amarige,Givenchy,feminine,green mandarin/tagete/pink peppercorn,jasmine/orange blossom/violet leaves,sandalwood/cedarwood/musk/ambrox
Givenchy Gentleman,Givenchy,masculine,tarragon/cinnamon,patchouli/vetiver,civet/russian leather
Insense,Givenchy,masculine,blackcurrant/mandarin/basil,magnolia/lily of the valley/iris/lentiscus,firbalsam
Insense Ultramarine,Givenchy,masculine,water fruits/galbanum,cardamom/mint leaves,cedar/vetiver/tobacco
Monsieur de Givenchy,Givenchy,masculine,hesperidian notes,lavender/verbena,oakmoss/sandalwood
Pi,Givenchy,masculine,citrus/aromatic/green/floral,magnetic wood,benzoin crystals
Pi Fraiche,Givenchy,masculine,tangerine/jasmine/,amber,benzoin/woody notes
Xeryus,Givenchy,masculine,grapefruit/artemisia,cypress/gaiac wood/chinese cypriol,amber
Xeryus Rouge,Givenchy,masculine,kumquat/cactus flesh/tarragon,cedar leaf/red pepper/african geranium,sandalwood/cedar
Givenchy pour Homme,Givenchy,masculine,cool grapefruit/mandarin/violet,lush fruits/exotic spices/floral notes,warm woods/vetiver
Into the Blue,Givenchy,unisex,winter bergamot/nettle flower/,sweet pea/white orchid,luminous woody base
Insense Ultramarine Aromatic Ocean - Morning Surf,Givenchy,masculine,citrus,cinnamon,sandalwood
Insense Ultramarine Aromatic Ocean - Evening Dream,Givenchy,masculine,citrus,cinnamon,sandalwood
Insense Ultramarine Aromatic Ocean - Midnight Swim,Givenchy,masculine,cinnamon,cypress,sandalwood
Givenchy pour Homme Blue Label,Givenchy,masculine,grapefruit/hedione/bergamot,cardamom/davana/pepper,olibanum/vetiver/cedar
Eau Torride,Givenchy,unisex,mandarin/bergamot/lemon,jasmine,sandalwood/bamboo
Ange ou Demon,Givenchy,feminine,white thyme/mandarin  from calabria and essence of saffron,maxillaria orchid/lily/ylang ylang,tonka bean/vanilla/rosewood/oak wood absolute
Pi Neo,Givenchy,masculine,bergamot/mandarin,myrtle/cedarwood,patchouli
Ange ou Demon Le Secret,Givenchy,feminine,italian winter lemon/cranberry/green tea leaves,sambac jasmine/white peony/water flowers,blond woods/patchouli
Play for Her,Givenchy,feminine,pink peppercorns/white peach/bergamot/sweet pea,amyris wood/tiare flower/magnolia leaf/magnolia flower,sandalwood/musks
Play Intense for Her,Givenchy,feminine,pink peppercorns/orange flower,amyris wood/tiare flower/orchid,sandalwood/patchouli/tonka bean
Le Bouquet Absolu,Givenchy,feminine,bergamot/neroli/wild berries,jasmine/vanilla orchid/rose,musk/ambergris/juniper
Dahlia Noir,Givenchy,feminine,pink pepper/mandarin/mimosa,rose/iris/patchouli/rose,sandalwood/vanilla/tonka bean
Very Irresistible Givenchy Electric Rose,Givenchy,feminine,blueberry/lemon/basil/verbena,rose/anise/green violet,cedar/musk
Very Irresistible L'Intense,Givenchy,feminine,plum,turkish rose,patchouli/white musk
Givenchy Play Sport,Givenchy,masculine,bergamot/ginger/mint/lemon leaf,amirys wood/pepper,musk
Ange ou Demon Tendre,Givenchy,feminine,mandarin/lily of the valley/orange blossom,lily/peony/heliotrope,rosewood/patchouli
Very Irresistible Tropical Paradise,Givenchy,feminine,anise/mint,passion fruit/rose,sandalwood/musk
Givenchy Play Summer Vibrations,Givenchy,masculine,coriander leaf/citrus,black pepper/sea spray accord,amyris wood
Dahlia Noir Eau de Toilette,Givenchy,feminine,mandarin/peach/lemon,rose/atlas cedar/pink pepper,vanilla/tonkin musk/ambergris/sandalwood
Eaudemoiselle de Givenchy Bois de Oud,Givenchy,feminine,mandarin,turkish rose/orange blossom,cedar/olibanum/amber/vanilla/oud
Very Irresistible Poesie d'un Parfum d'Hiver,Givenchy,feminine,gingerbread/honey/candied orange,star anise/cinnamon/rose,vanilla
Eaudemoiselle de Givenchy Eau Florale,Givenchy,feminine,pear/pink grapefruit,japanese wild rose/jasmine,blonde woods/musk
Very Irresistible Sensual,Givenchy,feminine,peony,rose/star anise,patchouli/vanilla
Gentlemen Only,Givenchy,masculine,birch leaf/green mandarin/nutmeg/pink pepper,cedar/patchouli/vetiver,animalic notes/frankincense
Dahlia Noir L'Eau,Givenchy,feminine,citrus/neroli,rose,patchouli/cedar/musk
Bloom,Givenchy,feminine,raspberry/caviar,iris/violet/tiare,woods/incense/musk
Apres L'ondee,Guerlain,feminine,aniseed/hesperidic notes/rose,violet/hawthorn,iris root
Mitsouko,Guerlain,feminine,bergamot/rose,jasmin/spices/peach,oakmoss/woody notes
L'Heure Bleue,Guerlain,feminine,neroli,carnation/iris,vanilla
Lia,Guerlain,feminine,aldehydes/rose,neroli/jasmine/rose,iris/woody notes/vanilla
Vol de Nuit,Guerlain,feminine,hesperedic notes/narcissus,galbanum/oakmoss/green notes,wood/iris/vanilla/spices
Shalimar,Guerlain,feminine,bergamot,iris/jasmine/rose,vanilla/opoponax/tonka bean
Chant d'Aromes,Guerlain,feminine,hesperidic notes/honeysuckle,gardenia/jasmine/ylang-ylang,sandalwood/oakmoss/vanilla
Chamade,Guerlain,feminine,hyacinth/jasmine,ylang-ylang/blackcurrant bud/galbanum,vanilla/woody notes/balsamic notes
Parure,Guerlain,feminine,hesperidic notes/plum,rose/jasmine/lilac,oakmoss/spices/wood
Nahema,Guerlain,feminine,rose,fruit,vanilla/wood
Samsara,Guerlain,feminine,jasmine/ylang ylang,jasmine/sandalwood/narcissus,tonka/iris/vanilla
Petit Guerlain,Guerlain,feminine,lavender/hesperidic notes,mimosa/jasmine/rose,tonka bean
Aqua Allegoria Flora Nerolia,Guerlain,feminine,neroli/petitgrain,jasmine/orange blossom,incense
Metalys / Metallica,Guerlain,feminine,vanilla,ylang-ylang/orange blossom/carnation,iris/tonka bean
Mayotte / Mahora,Guerlain,feminine,green and fresh,tuberose/frangipani blossoms/neroli/ylang-ylang/jasmine,vetiver/vanilla/sandalwood
Philtre d'Amour,Guerlain,feminine,lemon/bergamot/verbana,jasmine/petigrain/neroli/myrtle,patchouli
